MT,Channel,Label,Area,Mean,Min,Max,IntDen,RawIntDen,TechRep,Day,Biorep
MT12,1,40,1.326,18139.59,2757,32122,24056.845,3319545,2,5,5
MT12,1,41,1.051,14462.628,3129,24193,15197.611,2097081,2,5,5
MT12,1,42,0.826,15927.711,4798,28281,13158.862,1815759,2,5,5
MT12,1,43,1.797,14621.02,683,31812,26277.828,3626013,2,5,5
MT12,1,44,1.42,25451.663,2494,50343,36152.002,4988526,2,5,5
MT12,1,45,1.428,17145.756,1016,34103,24478.398,3377714,2,5,5
MT12,1,46,1.341,9014.946,2743,17226,12086.344,1667765,2,5,5
MT12,1,47,1.145,13860.962,1536,26875,15871.229,2190032,2,5,5
MT12,1,48,0.152,12267.476,8430,15444,1866.958,257617,2,5,5
MT12,1,49,1.449,15046.595,1146,31898,21808.628,3009319,2,5,5
MT12,1,50,1.015,18493.436,5038,34076,18763.15,2589081,2,5,5
MT12,1,51,1.246,15735.587,1322,32566,19614.241,2706521,2,5,5
MT12,1,52,0.87,17182.533,4496,30343,14942.682,2061904,2,5,5
MT12,1,53,0.848,12826.316,3888,22355,10875.467,1500679,2,5,5
MT12,1,54,1.21,15797.114,3923,26302,19118.523,2638118,2,5,5
MT12,1,55,1.515,16287.77,2112,32564,24669.937,3404144,2,5,5
MT12,1,56,1.268,15692.189,3516,26832,19901.311,2746133,2,5,5
MT12,1,57,1.022,8204.957,126,21525,8384.083,1156899,2,5,5
MT12,1,58,0.319,10246.591,6338,18317,3267.324,450850,2,5,5
MT12,1,59,1.37,13858.72,2232,25739,18982.133,2619298,2,5,5
MT12,1,60,1.138,16305.49,2176,31552,18552.124,2559962,2,5,5
MT12,1,61,1.42,14961.745,4138,26697,21251.933,2932502,2,5,5
MT12,1,62,1.652,12033.539,1561,25016,19883.294,2743647,2,5,5
MT12BG,1,63,0.725,128.91,113,308,93.421,12891,2,5,5
MT12BG,1,64,1.044,136.826,114,733,142.788,19703,2,5,5
MT12BG,1,65,1.391,135.021,116,877,187.872,25924,2,5,5
MT12BG,1,66,3.044,132.907,108,745,404.537,55821,2,5,5
MT12BG,1,67,0.928,142.523,111,573,132.208,18243,2,5,5
MT12,0,68,0.565,32177.615,25125,42332,18188.989,2509854,3,5,5
MT12,0,69,1.218,45157.946,25442,64045,54979.853,7586535,3,5,5
MT12,0,70,1,45794.261,24827,64156,45798.394,6319608,3,5,5
MT12,0,71,0.964,43134.218,24785,62579,41575.136,5736851,3,5,5
MT12,0,72,1.123,51404.394,24980,65535,57742.03,7967681,3,5,5
MT12,0,73,1.544,48634.746,22431,65535,75073.449,10359201,3,5,5
MT12,0,74,1.768,49390.725,24842,65364,87336.411,12051337,3,5,5
MT12,0,75,2.073,48344.517,24935,65535,100201.304,13826532,3,5,5
MT12,0,76,1.471,51120.906,24783,65535,75206.382,10377544,3,5,5
MT12,0,77,0.877,44310.322,24954,65371,38855.311,5361549,3,5,5
MT12,0,78,0.906,37405.592,24924,52573,33884.935,4675699,3,5,5
MT12,0,79,1.877,49132.456,25115,65535,92220.685,12725306,3,5,5
MT12,0,80,2.16,52871.191,24799,65535,114181.428,15755615,3,5,5
MT12,0,81,1.913,52739.701,24918,65535,100902.447,13923281,3,5,5
MT12,0,82,1.42,47320.765,24840,65535,67215.269,9274870,3,5,5
MT12,0,83,1.341,50368.297,25386,65535,67528.812,9318135,3,5,5
MT12,0,84,1.747,48425.718,25003,65535,84577.184,11670598,3,5,5
MT12,0,85,2.558,54779.989,24844,65535,140138.271,19337336,3,5,5
MT12,0,86,1.37,50766.18,25192,65535,69533.87,9594808,3,5,5
MT12,0,87,1.413,53439.908,24914,65535,75519.729,10420782,3,5,5
MT12,0,88,1.87,51724.659,24946,65535,96711.352,13344962,3,5,5
