"agar","tp","strain","pop.x","treatE.x","cycle.x","Length.x","rep.x","pop.y","treatE.y","cycle.y","Length.y","rep.y","relTrans"
3.4,24,"MYb11","5","mono",4,0.380197511664075,"5","17","anc",0,0.405909797822706,"1",0.936655172413793
3.4,24,"MYb11","5","mono",4,0.380197511664075,"5","17","anc",0,0.380239502332815,"1",0.999889567842156
3.4,24,"MYb11","5","mono",4,0.378858475894246,"2","17","anc",0,0.402998444790047,"1",0.940099101602297
3.4,24,"MYb11","5","mono",4,0.378858475894246,"2","17","anc",0,0.405909797822706,"1",0.93335632183908
3.4,24,"MYb11","5","mono",4,0.378858475894246,"2","17","anc",0,0.380239502332815,"1",0.996368009030896
3.4,24,"MYb11","4","bi",4,0.392365474339036,"5","17","anc",0,0.402998444790047,"1",0.97361535611744
3.4,24,"MYb11","4","bi",4,0.392365474339036,"5","17","anc",0,0.405909797822706,"1",0.966632183908046
3.4,24,"MYb11","4","bi",4,0.392365474339036,"5","17","anc",0,0.380239502332815,"1",1.0318903531375
3.4,24,"MYb11","7","bi",10,0.36150233281493,"3","17","anc",0,0.402998444790047,"1",0.897031582847087
3.4,24,"MYb11","7","bi",10,0.36150233281493,"3","17","anc",0,0.405909797822706,"1",0.890597701149425
3.4,24,"MYb11","7","bi",10,0.36150233281493,"3","17","anc",0,0.380239502332815,"1",0.950722717121892
3.4,24,"MYb11","7","bi",10,0.383603421461897,"1","17","anc",0,0.402998444790047,"1",0.951873205520052
3.4,24,"MYb11","7","bi",10,0.383603421461897,"1","17","anc",0,0.405909797822706,"1",0.945045977011494
3.4,24,"MYb11","7","bi",10,0.383603421461897,"1","17","anc",0,0.380239502332815,"1",1.00884684286731
3.4,24,"MYb11","13","mono",10,0.416155520995334,"4","17","anc",0,0.402998444790047,"1",1.03264795776605
3.4,24,"MYb11","13","mono",10,0.416155520995334,"4","17","anc",0,0.405909797822706,"1",1.02524137931034
3.4,24,"MYb11","13","mono",10,0.416155520995334,"4","17","anc",0,0.380239502332815,"1",1.09445630567621
3.4,24,"MYb11","4","bi",4,0.358688958009331,"6","17","anc",0,0.402998444790047,"1",0.890050476984347
3.4,24,"MYb11","4","bi",4,0.358688958009331,"6","17","anc",0,0.405909797822706,"1",0.883666666666667
3.4,24,"MYb11","4","bi",4,0.358688958009331,"6","17","anc",0,0.380239502332815,"1",0.94332376254632
3.4,24,"MYb11","7","bi",10,0.388306376360809,"4","17","anc",0,0.402998444790047,"1",0.963543113827915
3.4,24,"MYb11","7","bi",10,0.388306376360809,"4","17","anc",0,0.405909797822706,"1",0.956632183908046
3.4,24,"MYb11","7","bi",10,0.388306376360809,"4","17","anc",0,0.380239502332815,"1",1.02121524454588
3.4,24,"MYb11","7","bi",10,0.366079315707621,"2","17","anc",0,0.402998444790047,"1",0.908388904325276
3.4,24,"MYb11","7","bi",10,0.366079315707621,"2","17","anc",0,0.405909797822706,"1",0.901873563218391
3.4,24,"MYb11","7","bi",10,0.366079315707621,"2","17","anc",0,0.380239502332815,"1",0.962759822326928
3.4,24,"MYb11","13","mono",10,0.387933125972006,"6","17","anc",0,0.402998444790047,"1",0.962616930628878
3.4,24,"MYb11","13","mono",10,0.387933125972006,"6","17","anc",0,0.405909797822706,"1",0.955712643678161
3.4,24,"MYb11","13","mono",10,0.387933125972006,"6","17","anc",0,0.380239502332815,"1",1.02023362536504
3.4,24,"MYb11","13","mono",10,0.44694867807154,"2","17","anc",0,0.402998444790047,"1",1.10905807168658
3.4,24,"MYb11","13","mono",10,0.44694867807154,"2","17","anc",0,0.405909797822706,"1",1.10110344827586
3.4,24,"MYb11","13","mono",10,0.44694867807154,"2","17","anc",0,0.380239502332815,"1",1.17543988809541
3.4,24,"MYb11","7","bi",10,0.368169517884914,"5","17","anc",0,0.402998444790047,"1",0.913575530239881
3.4,24,"MYb11","7","bi",10,0.368169517884914,"5","17","anc",0,0.405909797822706,"1",0.907022988505747
3.4,24,"MYb11","7","bi",10,0.368169517884914,"5","17","anc",0,0.380239502332815,"1",0.968256889739626
